编码,药店名,所在区县,地址
06200081,北京同仁堂润丰医药有限公司槐房药店,丰台区,北京市丰台区槐房南路6号院槐房万达广场2层2002
06200080,北京同仁堂连锁药店有限责任公司方庄南路药店,丰台区,北京市丰台区左安门外成寿寺四方景园二区6-1号商铺
06200079,北京天安堂医药有限公司,丰台区,北京市丰台区西四环南路32号楼
06200078,北京市弘济药店有限公司小屯分店,丰台区,北京市丰台区小屯路9号
06200077,北京临泓路金象大药房有限公司,丰台区,北京市丰台区临泓路31号院1号楼底商26-27号
06200076,北京华海康医药有限公司,丰台区,北京市丰台区右外大街玉林东里1号楼4门
06200075,北京厚德安康医药有限公司丰台南宫店,丰台区,北京市丰台区王佐镇长青路109号-12号
06200074,北京国大药房连锁有限公司丰益桥连锁店,丰台区,北京市丰台区丰管路甲52号院1号楼1层103号
06200073,北京高远百康健康大药房有限公司,丰台区,北京市丰台区西罗园路二区体育场北侧平房
06200072,北京高远百康广生堂大药房有限公司六里桥分店,丰台区,北京市丰台区莲花池南里甲1号楼底商6-8号
06200071,北京高远百康广生堂大药房有限公司光彩北路分店,丰台区,北京市丰台区马公庄4号楼一层-1
06200070,北京高远百康大药房有限公司五里店分店,丰台区,北京市丰台区五里店260号23楼一层西侧
06200069,北京福庆堂医药有限责任公司菜户营药店,丰台区,北京市丰台区菜户营三路居88号院11号楼12门
06200068,北京东升天保堂连锁药店有限公司马家堡东路店,丰台区,北京市丰台区马家堡东路108号院9号楼1层103
06200067,北京鼎好康泰医药有限公司,丰台区,北京市丰台区长辛店朱家坟第二粮店
06200066,北京鼎好康盛大药房,丰台区,北京市丰台区长辛店镇太子峪村紫峪嘉园一号楼一层
06200065,北京博宇爱心医药有限责任公司,丰台区,北京市丰台区和义东里6区1号楼楼下
06200064,北京马家堡天安堂医药有限公司,丰台区,北京市丰台区马家堡西路32号1号楼1号商铺
06200063,北京天保堂大药房,丰台区,北京市丰台区角门路14号院15号楼（商业楼）
06200062,北京金象大药房医药连锁有限责任公司爱康金象大药房,丰台区,北京市丰台区南苑李家庄4号1、2号平房
06200061,北京天罡普仁医药技术开发有限责任公司南苑大药房,丰台区,北京市丰台区南苑北里一区11号楼一层
06200060,北京嘉事堂连锁药店有限责任公司怡海康药店,丰台区,北京市丰台区科学城邻枫路3号院1号楼底商
06200059,北京诚安堂医药有限公司丰葆路店,丰台区,北京市丰台区富锦嘉园2区9号综合服务楼
06200058,北京世纪本草济世安康大药房有限责任公司,丰台区,北京市丰台区青塔东里七号院10号楼底商
06200057,北京嘉致堂医药有限公司,丰台区,北京市丰台区镇国寺北街4号院13号楼一层1-2号
06200056,北京七福堂大药房有限责任公司,丰台区,北京市丰台区右安门外翠林小区3里8号一层
06200055,北京百姓阳光大药房有限公司方庄店,丰台区,北京市丰台区方庄路1号楼
06200053,北京鑫和淼大药房有限公司,丰台区,北京市丰台区成寿寺中路2号2号楼7-101
06200049,北京市丰台云岗百货商场金象大药房,丰台区,北京市丰台区云岗南区西里1号
06200048,北京高远百康大药房有限公司丰管路分店,丰台区,北京市丰台区丰管路16号9号楼1010室
06200044,北京天罡普仁医药技术开发有限责任公司石榴园大药房,丰台区,北京市丰台区石榴园南里37号楼商业1B号
06200043,北京天罡普仁医药技术开发有限责任公司东高地大药房,丰台区,北京市丰台区东高地万源南里29栋旁
06200037,北京金象大药房医药连锁有限责任公司六里桥金象大药房,丰台区,北京市丰台区太平桥西里29号楼1层1-2-20-1及-2
06200036,北京同仁堂连锁药店有限责任公司刘家窑药店,丰台区,北京市丰台区刘家窑恒松园小区7号楼一层
06200035,仁和药房网（北京）医药科技有限公司第八药房,丰台区,北京市丰台区东大街8号
06200034,北京同仁堂连锁药店有限责任公司光彩路药店,丰台区,北京市丰台区石榴庄西街光彩路66院6号楼03号
06200033,北京同仁堂连锁药店有限责任公司三营门药店,丰台区,北京市丰台区南苑北里二区六号楼
06200032,北京金象大药房医药连锁有限责任公司天利金象大药房,丰台区,北京市丰台区草桥东路9号
06200031,北京长辛店鑫兴金象大药房有限责任公司,丰台区,北京市丰台区长辛店崔村152号
06200030,北京德信行医保全新大药房有限公司赵公口店,丰台区,北京市丰台区石榴园北里49号
06200028,仁和药房网（北京）医药科技有限公司第二十一药房,丰台区,北京市丰台区大灰厂村464号
06200026,叮当智慧药房（北京）有限公司,丰台区,北京市丰台区马家堡西路角门西里29号
06200025,北京太和保兴大药房有限公司,丰台区,北京市丰台区方庄芳群园二区12-1号
06200024,北京叮当智慧怡海大药房,丰台区,北京市丰台区科学城帝京路1号帝京花园C1座
06200019,北京金卫金象大药房有限责任公司,丰台区,北京市丰台区刘家窑定安西里22号一层
06200008,北京玉泉平安金象大药房有限公司,丰台区,北京市丰台区小屯路甲6号濠镜大楼一层
06200007,仁和药房网（北京）医药科技有限公司第一药房,丰台区,北京市丰台区右安门外东头条北侧迦南公寓C座7-8轴
06200006,北京同仁堂南三环中路药店有限公司,丰台区,北京市丰台区南三环中路20号
06200004,北京信海科园大药房有限公司,丰台区,北京市丰台区韩庄子二里20号楼一层
06200003,北京金象大药房医药连锁有限责任公司洋桥金象大药房,丰台区,北京市丰台区马家堡东路2号一层中102
06200002,北京牡丹苑金象大药房,丰台区,北京市丰台区方庄芳城园三区19号楼1层8号
05200213,新龙药业集团京芝堂（北京）医药连锁有限公司大郊亭店,朝阳区,北京市朝阳区广渠路21号3号楼1层—02
05200212,新龙药业集团京芝堂（北京）医药连锁有限公司朝阳三间房店,朝阳区,北京市朝阳区新房路3号院2号楼1层128
05200211,新龙药业集团京芝堂（北京）医药连锁有限公司朝阳朝外店,朝阳区,北京市朝阳区吉庆里6号楼103号
05200210,新龙药业集团京芝堂（北京）医药连锁有限公司百子湾店,朝阳区,北京市朝阳区百子湾西里101号楼1层商业H
05200209,嘉事堂药业股份有限公司北京团结湖药店,朝阳区,北京市朝阳区团结湖路34号
05200208,嘉事堂药业股份有限公司北京顺源里药店,朝阳区,北京市朝阳区左家庄顺源里13号楼一层
05200207,嘉事堂药业股份有限公司北京康静里药店,朝阳区,北京市朝阳区康静里20号楼一层
05200206,嘉事堂药业股份有限公司北京工体路药店,朝阳区,北京市朝阳区工体西里6号楼一层
05200205,叮当智慧药房（北京）有限公司第五店,朝阳区,北京市朝阳区太阳宫芍药居2号院甲1号楼东侧一层
05200204,叮当智慧药房（北京）有限公司第三十一店,朝阳区,北京市朝阳区雅成二里2号楼1层商业22
05200203,叮当智慧药房（北京）有限公司第三十五店,朝阳区,北京市朝阳区东坝中路京奥家园28号楼102号
05200202,北京麟康利民医药有限公司,朝阳区,北京市朝阳区白家庄西里24号1幢
05200201,北京鑫康济堂大药房有限公司八分店,朝阳区,北京市朝阳区建东苑27号楼01层商业内2号
05200200,北京泽润堂广外药店有限公司,朝阳区,北京市朝阳区黄厂南里2号院18号楼1至2层06
05200199,北京源通百姓平安广仁堂大药房有限公司,朝阳区,北京市朝阳区金蝉南里4号楼-1至1层17
05200198,北京永裕大药房有限公司,朝阳区,北京市朝阳区广渠路28号205号楼1层205-北126
